Title,Latitude,Jitter,New_Latitude,Longitude,Jitter,New_Longitude
Ki,35.619006,,35.619006,-80.503229,0.000011,-80.503218
Bill,35.619006,,35.619006,-80.503229,0.000012,-80.503217
Jack,35.619006,,35.619006,-80.503229,0.000013,-80.503216
Gabriel,35.619006,,35.619006,-80.503229,0.000014,-80.503215
Sampson,35.619006,,35.619006,-80.503229,0.000015,-80.503214
Allen,35.69611,,35.69611,-79.812689,0.000016,-79.812673
Isaac,35.69611,,35.69611,-79.812689,0.000017,-79.812672
Harry,35.69611,,35.69611,-79.812689,0.000018,-79.812671
Anthony,35.69611,,35.69611,-79.812689,0.000019,-79.81267
Dave,35.69611,,35.69611,-79.812689,0.00002,-79.812669
Elijah,35.69611,,35.69611,-79.812689,0.000021,-79.812668
Jesse,35.69611,,35.69611,-79.812689,0.000022,-79.812667
Stephen,35.69611,,35.69611,-79.812689,0.000023,-79.812666
Henry,35.69611,,35.69611,-79.812689,0.000024,-79.812665
David,35.69611,,35.69611,-79.812689,0.000025,-79.812664
Mills,35.69611,,35.69611,-79.812689,0.000026,-79.812663
Yancy,35.69611,,35.69611,-79.812689,0.000027,-79.812662
Coartney,35.713544,,35.713544,-77.921208,,-77.921208
Anthony,35.825928,0.000001,35.825929,-76.576891,,-76.576891
Stephen,35.825928,0.000002,35.82593,-76.576891,,-76.576891
Achillis,35.825928,0.000003,35.825931,-76.576891,,-76.576891
Jim,35.825928,0.000004,35.825932,-76.576891,,-76.576891
Provy,35.825928,0.000005,35.825933,-76.576891,,-76.576891
Dave,35.825928,0.000006,35.825934,-76.576891,,-76.576891
Peter,35.837445,,35.837445,-77.112465,,-77.112465
Dave,35.921582,0.000001,35.921583,-82.296633,,-82.296633
Jesse,35.921582,0.000002,35.921584,-82.296633,,-82.296633
Tom,35.921582,0.000003,35.921585,-82.296633,,-82.296633
Ayrs,35.92759,,35.92759,-76.248066,,-76.248066
Isaac,36.068838,0.000001,36.068839,-79.099462,,-79.099462
Jim,36.068838,0.000002,36.06884,-79.099462,,-79.099462
Sam,36.068838,0.000003,36.068841,-79.099462,,-79.099462
George,36.068838,0.000004,36.068842,-79.099462,,-79.099462
Bob,36.068838,0.000005,36.068843,-79.099462,,-79.099462
Priscilla,36.068838,0.000006,36.068844,-79.099462,,-79.099462
Kimber,36.068838,0.000007,36.068845,-79.099462,,-79.099462
Sylva,36.068838,0.000008,36.068846,-79.099462,,-79.099462
Ben,36.068838,0.000009,36.068847,-79.099462,,-79.099462
Dave,36.068838,0.00001,36.068848,-79.099462,,-79.099462
Jack,36.068838,,36.068838,-79.099462,0.000001,-79.099461
Samuel,36.068838,,36.068838,-79.099462,0.000002,-79.09946
Crawford,36.068838,,36.068838,-79.099462,0.000003,-79.099459
Dick,36.068838,,36.068838,-79.099462,0.000004,-79.099458
Sally,36.068838,,36.068838,-79.099462,0.000005,-79.099457
Needham,36.068838,,36.068838,-79.099462,0.000006,-79.099456
Summer,36.068838,,36.068838,-79.099462,0.000007,-79.099455
Kinchelow,36.068838,,36.068838,-79.099462,0.000008,-79.099454
Osborn,36.068838,,36.068838,-79.099462,0.000009,-79.099453
Amos,36.068838,,36.068838,-79.099462,0.00001,-79.099452
Griffin,36.068838,,36.068838,-79.099462,0.000011,-79.099451
Charles,36.068838,,36.068838,-79.099462,0.000012,-79.09945
Lewis,36.068838,,36.068838,-79.099462,0.000013,-79.099449
Tom,36.077804,0.000001,36.077805,-76.9588,,-76.9588
Lewis,36.077804,0.000002,36.077806,-76.9588,,-76.9588
Tempy,36.077804,0.000003,36.077807,-76.9588,,-76.9588
Daniel,36.077804,0.000004,36.077808,-76.9588,,-76.9588
Abraham,36.077804,0.000005,36.077809,-76.9588,,-76.9588
Emily,36.077804,0.000006,36.07781,-76.9588,,-76.9588
Harry,36.161773,0.000007,36.16178,-76.638552,,-76.638552
Joe,36.161773,0.000008,36.161781,-76.638552,,-76.638552
Fed,36.161773,0.000009,36.161782,-76.638552,,-76.638552
Jack,36.161773,0.00001,36.161783,-76.638552,,-76.638552
Luke,36.161773,0.000011,36.161784,-76.638552,0.000001,-76.638551
Mingo,36.161773,0.000012,36.161785,-76.638552,0.000002,-76.63855
Peter,36.161773,0.000013,36.161786,-76.638552,0.000003,-76.638549
Sam,36.161773,0.000014,36.161787,-76.638552,0.000004,-76.638548
Cherry,36.161773,0.000015,36.161788,-76.638552,0.000005,-76.638547
Hanse,36.161773,0.000016,36.161789,-76.638552,0.000006,-76.638546
Isaac,36.161773,0.000017,36.16179,-76.638552,0.000007,-76.638545
Lucy,36.161773,,36.161773,-76.638552,0.000008,-76.638544
Dave,36.161773,,36.161773,-76.638552,0.000009,-76.638543
Affa,36.161773,,36.161773,-76.638552,0.00001,-76.638542
Jesse,36.161773,,36.161773,-76.638552,0.000011,-76.638541
Clarissa,36.161773,,36.161773,-76.638552,0.000012,-76.63854
Mariam,36.161773,,36.161773,-76.638552,0.000013,-76.638539
John,36.161773,,36.161773,-76.638552,0.000014,-76.638538
Hughes,36.161773,,36.161773,-76.638552,0.000015,-76.638537
Bill,36.161773,,36.161773,-76.638552,0.000016,-76.638536
Giles,36.161773,,36.161773,-76.638552,0.000017,-76.638535
Henry,36.161773,,36.161773,-76.638552,0.000018,-76.638534
Jim,36.161773,,36.161773,-76.638552,0.000019,-76.638533
Derry,36.161773,,36.161773,-76.638552,0.00002,-76.638532
Jerry,36.161773,,36.161773,-76.638552,0.000021,-76.638531
Azzy,36.161773,,36.161773,-76.638552,0.000022,-76.63853
Antony,36.161773,,36.161773,-76.638552,0.000023,-76.638529
Lewis,36.161865,0.000001,36.161866,-81.166003,,-81.166003
Miles,36.161865,0.000002,36.161867,-81.166003,,-81.166003
Peter,36.183495,0.000001,36.183496,-76.472812,,-76.472812
Flora,36.183495,0.000002,36.183497,-76.472812,,-76.472812
Joe,36.183495,0.000003,36.183498,-76.472812,,-76.472812
Eve,36.183495,0.000004,36.183499,-76.472812,,-76.472812
Sall,36.183495,0.000005,36.1835,-76.472812,,-76.472812
George,36.26963,0.000001,36.269631,-77.648392,,-77.648392
Fred,36.26963,0.000002,36.269632,-77.648392,,-77.648392
John,36.26963,0.000003,36.269633,-77.648392,,-77.648392
Austin,36.26963,0.000004,36.269634,-77.648392,,-77.648392
Kinchen,36.26963,0.000005,36.269635,-77.648392,,-77.648392
Pleasant,36.26963,0.000006,36.269636,-77.648392,,-77.648392
Polly,36.26963,0.000007,36.269637,-77.648392,,-77.648392
Harris,36.26963,0.000008,36.269638,-77.648392,,-77.648392
Moses,36.26963,0.000009,36.269639,-77.648392,,-77.648392
Nat,36.26963,0.00001,36.26964,-77.648392,,-77.648392
Peter,36.26963,0.000011,36.269641,-77.648392,,-77.648392
Adaline,36.26963,0.000012,36.269642,-77.648392,,-77.648392
Arnol,36.26963,0.000013,36.269643,-77.648392,,-77.648392
Cory,36.26963,0.000014,36.269644,-77.648392,,-77.648392
Emily,36.26963,0.000015,36.269645,-77.648392,,-77.648392
Fanny,36.26963,0.000016,36.269646,-77.648392,,-77.648392
King,36.26963,0.000017,36.269647,-77.648392,,-77.648392
Nanny,36.26963,0.000018,36.269648,-77.648392,,-77.648392
Daniel,36.26963,0.000019,36.269649,-77.648392,,-77.648392
Crawford,36.26963,0.00002,36.26965,-77.648392,,-77.648392
Charles,36.26963,0.000021,36.269651,-77.648392,,-77.648392
Cinderella,36.26963,,36.26963,-77.648392,0.000001,-77.648391
Frank,36.26963,,36.26963,-77.648392,0.000002,-77.64839
Arthur,36.26963,,36.26963,-77.648392,0.000003,-77.648389
Creecy,36.26963,,36.26963,-77.648392,0.000004,-77.648388
Lewis,36.26963,,36.26963,-77.648392,0.000005,-77.648387
Ben,36.26963,,36.26963,-77.648392,0.000006,-77.648386
Harry,36.26963,,36.26963,-77.648392,0.000007,-77.648385
Simon,36.26963,,36.26963,-77.648392,0.000008,-77.648384
Amos,36.26963,,36.26963,-77.648392,0.000009,-77.648383
Caesar,36.26963,,36.26963,-77.648392,0.00001,-77.648382
William,36.26963,,36.26963,-77.648392,0.000011,-77.648381
Wiley,36.26963,,36.26963,-77.648392,0.000012,-77.64838
Isaac,36.26963,,36.26963,-77.648392,0.000013,-77.648379
Manuel,36.285807,0.000001,36.285808,-76.223765,,-76.223765
Harriet,36.285807,0.000002,36.285809,-76.223765,,-76.223765
Edmund,36.285807,0.000003,36.28581,-76.223765,,-76.223765
Jane,36.285807,0.000004,36.285811,-76.223765,,-76.223765
Henry,36.285807,0.000005,36.285812,-76.223765,,-76.223765
Gilbert,36.333825,0.000001,36.333826,-78.655305,,-78.655305
